recipe_id,name,meal_type,servings,prep_time_min,ingredients,kcal_per_serving,protein_g_per_serving,carbs_g_per_serving,fat_g_per_serving,fiber_g_per_serving,instructions
R0130,Tostadas integrales con claras de huevo y zanahoria,desayuno,1,22,"[{""ingredient"": ""claras de huevo"", ""grams"": 150}, {""ingredient"": ""pan integral"", ""grams"": 80}, {""ingredient"": ""zanahoria"", ""grams"": 96}]",315.0,27.8,43.1,3.9,8.3,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0131,Yogur griego con arandanos y semillas de chia,snack,1,17,"[{""ingredient"": ""arandanos"", ""grams"": 188}, {""ingredient"": ""miel"", ""grams"": 6}, {""ingredient"": ""semillas de chia"", ""grams"": 13}, {""ingredient"": ""yogur griego descremado"", ""grams"": 265}]",344.9,30.0,47.2,5.7,8.9,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0132,Pudding de chia con banana,postre,1,24,"[{""ingredient"": ""banana"", ""grams"": 174}, {""ingredient"": ""cacao amargo"", ""grams"": 29}, {""ingredient"": ""leche descremada"", ""grams"": 198}, {""ingredient"": ""semillas de lino"", ""grams"": 17}]",381.1,17.4,71.3,11.8,19.8,Mezclá las semillas con la leche. Dejá reposar 2-4h en heladera. Sumá la fruta al servir.
R0133,Tostadas integrales con atun al natural escurrido y tomate,desayuno,2,19,"[{""ingredient"": ""atun al natural escurrido"", ""grams"": 93}, {""ingredient"": ""pan integral"", ""grams"": 80}, {""ingredient"": ""tomate"", ""grams"": 152}]",166.4,18.0,19.4,2.3,3.7,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0134,Wrap fitness de yogur griego descremado con cebolla y salsa de soja,almuerzo,1,14,"[{""ingredient"": ""cebolla"", ""grams"": 126}, {""ingredient"": ""palta"", ""grams"": 28}, {""ingredient"": ""pan integral"", ""grams"": 84}, {""ingredient"": ""salsa de soja"", ""grams"": 18}, {""ingredient"": ""yogur griego descremado"", ""grams"": 117}]",381.2,26.0,53.6,8.3,9.9,Calentá la tortilla 10-20s. Rellená con la proteína y verduras. Agregá el condimento/salsa y enrollá.
R0135,Pollo con tortitas de arroz y tomate,almuerzo,1,26,"[{""ingredient"": ""almendras"", ""grams"": 33}, {""ingredient"": ""claras de huevo"", ""grams"": 197}, {""ingredient"": ""salsa de soja"", ""grams"": 10}, {""ingredient"": ""tomate"", ""grams"": 150}, {""ingredient"": ""tortitas de arroz"", ""grams"": 123}]",793.2,40.6,115.8,20.7,8.2,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0136,Wrap fitness de queso cottage light con brocoli y mostaza,almuerzo,2,31,"[{""ingredient"": ""almendras"", ""grams"": 30}, {""ingredient"": ""avena"", ""grams"": 196}, {""ingredient"": ""brocoli"", ""grams"": 155}, {""ingredient"": ""queso cottage light"", ""grams"": 209}]",580.1,33.4,76.9,17.0,14.2,Calentá la tortilla 10-20s. Rellená con la proteína y verduras. Agregá el condimento/salsa y enrollá.
R0137,Bowl de quinoa cocida con banana y banana,desayuno,1,12,"[{""ingredient"": ""almendras"", ""grams"": 26}, {""ingredient"": ""banana"", ""grams"": 183}, {""ingredient"": ""semillas de lino"", ""grams"": 10}, {""ingredient"": ""yogur griego descremado"", ""grams"": 260}]",520.2,35.3,59.7,18.8,10.6,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0138,Pollo con tortilla de trigo y pepino,almuerzo,1,30,"[{""ingredient"": ""lentejas cocidas"", ""grams"": 197}, {""ingredient"": ""pepino"", ""grams"": 122}, {""ingredient"": ""salsa de soja"", ""grams"": 26}, {""ingredient"": ""tortilla de trigo"", ""grams"": 224}]",933.8,38.6,157.1,16.7,25.3,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0139,Pudding de chia con arandanos,postre,1,12,"[{""ingredient"": ""arandanos"", ""grams"": 152}, {""ingredient"": ""bebida vegetal sin azucar"", ""grams"": 234}, {""ingredient"": ""semillas de chia"", ""grams"": 17}]",216.1,6.3,33.9,8.5,9.9,Mezclá las semillas con la leche. Dejá reposar 2-4h en heladera. Sumá la fruta al servir.
R0140,Pollo con tortitas de arroz y zapallito,almuerzo,2,39,"[{""ingredient"": ""limon"", ""grams"": 29}, {""ingredient"": ""mantequilla de mani"", ""grams"": 16}, {""ingredient"": ""tortitas de arroz"", ""grams"": 125}, {""ingredient"": ""whey protein"", ""grams"": 88}, {""ingredient"": ""zapallito"", ""grams"": 140}]",476.6,43.2,59.9,8.6,2.8,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0141,Ensalada proteica de lentejas cocidas con morrón y semillas de chia,almuerzo,1,29,"[{""ingredient"": ""lentejas cocidas"", ""grams"": 208}, {""ingredient"": ""morrón"", ""grams"": 73}, {""ingredient"": ""quinoa cocida"", ""grams"": 168}, {""ingredient"": ""semillas de chia"", ""grams"": 17}]",548.1,29.7,88.9,9.5,28.7,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0142,Guiso de legumbres con brocoli,cena,1,35,"[{""ingredient"": ""brocoli"", ""grams"": 107}, {""ingredient"": ""claras de huevo"", ""grams"": 176}, {""ingredient"": ""papa cocida"", ""grams"": 190}, {""ingredient"": ""salsa de soja"", ""grams"": 29}, {""ingredient"": ""semillas de chia"", ""grams"": 31}]",459.2,33.6,60.9,10.8,16.7,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0143,Wrap fitness de carne magra cocida con zanahoria y salsa de soja,almuerzo,1,23,"[{""ingredient"": ""almendras"", ""grams"": 18}, {""ingredient"": ""carne magra cocida"", ""grams"": 81}, {""ingredient"": ""pasta integral cocida"", ""grams"": 158}, {""ingredient"": ""salsa de soja"", ""grams"": 7}, {""ingredient"": ""zanahoria"", ""grams"": 173}]",520.6,36.5,60.4,16.8,11.7,Calentá la tortilla 10-20s. Rellená con la proteína y verduras. Agregá el condimento/salsa y enrollá.
R0144,Salmon con batata cocida y ensalada,cena,1,28,"[{""ingredient"": ""aceite de oliva"", ""grams"": 22}, {""ingredient"": ""batata cocida"", ""grams"": 178}, {""ingredient"": ""espinaca"", ""grams"": 63}, {""ingredient"": ""tempeh"", ""grams"": 163}]",683.8,38.0,54.3,40.5,7.3,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0145,Pudding de chia con frutillas,postre,2,24,"[{""ingredient"": ""bebida vegetal sin azucar"", ""grams"": 273}, {""ingredient"": ""cacao amargo"", ""grams"": 13}, {""ingredient"": ""frutillas"", ""grams"": 180}, {""ingredient"": ""semillas de lino"", ""grams"": 20}]",124.3,5.1,16.3,7.0,7.2,Mezclá las semillas con la leche. Dejá reposar 2-4h en heladera. Sumá la fruta al servir.
R0146,Guiso de legumbres con espinaca,cena,1,19,"[{""ingredient"": ""atun al natural escurrido"", ""grams"": 164}, {""ingredient"": ""espinaca"", ""grams"": 145}, {""ingredient"": ""palta"", ""grams"": 30}, {""ingredient"": ""pan integral"", ""grams"": 192}]",745.8,72.4,86.5,14.7,18.6,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0147,Tostadas integrales con atun al natural escurrido y cebolla,desayuno,2,16,"[{""ingredient"": ""atun al natural escurrido"", ""grams"": 108}, {""ingredient"": ""cebolla"", ""grams"": 131}, {""ingredient"": ""pan integral"", ""grams"": 80}]",187.6,20.0,22.5,2.3,3.9,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0148,Wrap fitness de whey protein con tomate y limon,almuerzo,2,31,"[{""ingredient"": ""limon"", ""grams"": 30}, {""ingredient"": ""tomate"", ""grams"": 134}, {""ingredient"": ""tortitas de arroz"", ""grams"": 192}, {""ingredient"": ""whey protein"", ""grams"": 133}]",647.2,61.6,88.0,6.9,3.1,Calentá la tortilla 10-20s. Rellená con la proteína y verduras. Agregá el condimento/salsa y enrollá.
R0149,Pudding de chia con manzana,postre,1,8,"[{""ingredient"": ""bebida vegetal sin azucar"", ""grams"": 289}, {""ingredient"": ""manzana"", ""grams"": 84}, {""ingredient"": ""miel"", ""grams"": 30}, {""ingredient"": ""semillas de lino"", ""grams"": 25}]",326.2,7.7,49.3,14.1,9.4,Mezclá las semillas con la leche. Dejá reposar 2-4h en heladera. Sumá la fruta al servir.
R0150,Pollo con papa cocida y zanahoria,almuerzo,1,24,"[{""ingredient"": ""garbanzos cocidos"", ""grams"": 107}, {""ingredient"": ""papa cocida"", ""grams"": 82}, {""ingredient"": ""semillas de chia"", ""grams"": 26}, {""ingredient"": ""zanahoria"", ""grams"": 85}]",408.0,16.4,64.5,11.1,20.8,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0151,Batido de proteína con frutillas,snack,1,21,"[{""ingredient"": ""frutillas"", ""grams"": 124}, {""ingredient"": ""leche descremada"", ""grams"": 186}, {""ingredient"": ""semillas de lino"", ""grams"": 20}, {""ingredient"": ""whey protein"", ""grams"": 25}]",311.6,30.8,26.6,10.5,7.9,Agregá todo en la licuadora. Licuá 20-30s hasta homogéneo. Serví y listo.
R0152,Batido de proteína con arandanos,snack,1,21,"[{""ingredient"": ""arandanos"", ""grams"": 166}, {""ingredient"": ""bebida vegetal sin azucar"", ""grams"": 177}, {""ingredient"": ""whey protein"", ""grams"": 25}]",230.0,22.9,29.6,4.1,4.3,Agregá todo en la licuadora. Licuá 20-30s hasta homogéneo. Serví y listo.
R0153,Ensalada proteica de tempeh con cebolla y nueces,almuerzo,1,24,"[{""ingredient"": ""arroz integral cocido"", ""grams"": 243}, {""ingredient"": ""cebolla"", ""grams"": 170}, {""ingredient"": ""nueces"", ""grams"": 33}, {""ingredient"": ""tempeh"", ""grams"": 127}]",827.8,38.8,94.1,38.0,9.5,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0154,Yogur griego con banana y semillas de chia,snack,1,24,"[{""ingredient"": ""banana"", ""grams"": 138}, {""ingredient"": ""cacao amargo"", ""grams"": 21}, {""ingredient"": ""semillas de chia"", ""grams"": 9}, {""ingredient"": ""yogur griego descremado"", ""grams"": 200}]",332.4,27.2,54.6,6.9,14.4,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0155,Yogur griego con frutillas y semillas de lino,snack,1,10,"[{""ingredient"": ""frutillas"", ""grams"": 166}, {""ingredient"": ""miel"", ""grams"": 14}, {""ingredient"": ""semillas de lino"", ""grams"": 10}, {""ingredient"": ""yogur griego descremado"", ""grams"": 171}]",250.0,20.1,33.4,5.4,6.0,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0156,Omelette de lechuga con almendras,desayuno,1,9,"[{""ingredient"": ""almendras"", ""grams"": 25}, {""ingredient"": ""huevo entero"", ""grams"": 120}, {""ingredient"": ""lechuga"", ""grams"": 104}]",331.9,22.3,9.8,24.1,4.4,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0157,Ensalada proteica de huevo entero con brocoli y semillas de lino,almuerzo,2,15,"[{""ingredient"": ""brocoli"", ""grams"": 186}, {""ingredient"": ""huevo entero"", ""grams"": 209}, {""ingredient"": ""pan integral"", ""grams"": 247}, {""ingredient"": ""salsa de soja"", ""grams"": 19}, {""ingredient"": ""semillas de lino"", ""grams"": 25}]",557.9,35.3,62.0,20.8,14.4,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0158,Bowl de quinoa cocida con frutillas y pepino,desayuno,1,23,"[{""ingredient"": ""frutillas"", ""grams"": 175}, {""ingredient"": ""semillas de chia"", ""grams"": 20}, {""ingredient"": ""yogur griego descremado"", ""grams"": 294}]",326.7,34.0,32.5,7.9,10.3,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0159,Wrap fitness de salmon con cebolla y limon,almuerzo,1,24,"[{""ingredient"": ""cebolla"", ""grams"": 68}, {""ingredient"": ""nueces"", ""grams"": 21}, {""ingredient"": ""salmon"", ""grams"": 143}, {""ingredient"": ""tortilla de trigo"", ""grams"": 156}]",930.0,45.0,87.3,43.2,8.8,Calentá la tortilla 10-20s. Rellená con la proteína y verduras. Agregá el condimento/salsa y enrollá.
R0160,Wrap fitness de yogur griego descremado con tomate y limon,almuerzo,1,29,"[{""ingredient"": ""limon"", ""grams"": 22}, {""ingredient"": ""quinoa cocida"", ""grams"": 132}, {""ingredient"": ""tomate"", ""grams"": 112}, {""ingredient"": ""yogur griego descremado"", ""grams"": 115}]",252.8,18.6,38.7,3.3,5.7,Calentá la tortilla 10-20s. Rellená con la proteína y verduras. Agregá el condimento/salsa y enrollá.
R0161,Omelette de pepino con nueces,desayuno,1,17,"[{""ingredient"": ""claras de huevo"", ""grams"": 100}, {""ingredient"": ""huevo entero"", ""grams"": 140}, {""ingredient"": ""nueces"", ""grams"": 20}, {""ingredient"": ""pepino"", ""grams"": 123}]",402.7,33.1,9.5,26.6,2.0,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0162,Batido de proteína con arandanos,snack,1,23,"[{""ingredient"": ""arandanos"", ""grams"": 138}, {""ingredient"": ""bebida vegetal sin azucar"", ""grams"": 244}, {""ingredient"": ""whey protein"", ""grams"": 40}]",287.5,35.4,28.1,5.7,3.8,Agregá todo en la licuadora. Licuá 20-30s hasta homogéneo. Serví y listo.
R0163,Bowl de arroz integral cocido con frutillas y zapallito,desayuno,1,23,"[{""ingredient"": ""frutillas"", ""grams"": 143}, {""ingredient"": ""nueces"", ""grams"": 20}, {""ingredient"": ""semillas de chia"", ""grams"": 12}, {""ingredient"": ""yogur griego descremado"", ""grams"": 204}]",355.2,26.4,26.2,18.0,8.3,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0164,Batido de proteína con banana,snack,1,25,"[{""ingredient"": ""banana"", ""grams"": 105}, {""ingredient"": ""leche descremada"", ""grams"": 259}, {""ingredient"": ""whey protein"", ""grams"": 40}]",344.1,42.0,40.1,3.0,2.7,Agregá todo en la licuadora. Licuá 20-30s hasta homogéneo. Serví y listo.
R0165,Tazón de quinoa con pavo cocido y espinaca,cena,2,30,"[{""ingredient"": ""espinaca"", ""grams"": 138}, {""ingredient"": ""pasta integral cocida"", ""grams"": 181}, {""ingredient"": ""pavo cocido"", ""grams"": 93}]",202.5,20.0,25.1,3.1,4.2,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0166,Wrap fitness de pechuga de pollo cocida con zapallito y limon,almuerzo,1,33,"[{""ingredient"": ""aceite de oliva"", ""grams"": 25}, {""ingredient"": ""limon"", ""grams"": 17}, {""ingredient"": ""pechuga de pollo cocida"", ""grams"": 167}, {""ingredient"": ""quinoa cocida"", ""grams"": 110}, {""ingredient"": ""zapallito"", ""grams"": 168}]",662.0,58.8,30.2,33.7,5.2,Calentá la tortilla 10-20s. Rellená con la proteína y verduras. Agregá el condimento/salsa y enrollá.
R0167,Wrap fitness de huevo entero con pepino y limon,almuerzo,1,39,"[{""ingredient"": ""huevo entero"", ""grams"": 82}, {""ingredient"": ""limon"", ""grams"": 28}, {""ingredient"": ""palta"", ""grams"": 33}, {""ingredient"": ""papa cocida"", ""grams"": 236}, {""ingredient"": ""pepino"", ""grams"": 102}]",399.8,16.8,57.4,13.1,7.8,Calentá la tortilla 10-20s. Rellená con la proteína y verduras. Agregá el condimento/salsa y enrollá.
R0168,Pudding de chia con manzana,postre,1,5,"[{""ingredient"": ""cacao amargo"", ""grams"": 22}, {""ingredient"": ""leche descremada"", ""grams"": 220}, {""ingredient"": ""manzana"", ""grams"": 162}, {""ingredient"": ""semillas de lino"", ""grams"": 26}]",350.2,17.0,53.6,14.5,19.0,Mezclá las semillas con la leche. Dejá reposar 2-4h en heladera. Sumá la fruta al servir.
R0169,Pudding de chia con naranja,postre,1,15,"[{""ingredient"": ""leche descremada"", ""grams"": 211}, {""ingredient"": ""miel"", ""grams"": 5}, {""ingredient"": ""naranja"", ""grams"": 143}, {""ingredient"": ""semillas de chia"", ""grams"": 23}]",268.0,12.4,41.2,7.5,11.3,Mezclá las semillas con la leche. Dejá reposar 2-4h en heladera. Sumá la fruta al servir.
R0170,Ensalada proteica de claras de huevo con morrón y mantequilla de mani,almuerzo,2,26,"[{""ingredient"": ""claras de huevo"", ""grams"": 97}, {""ingredient"": ""mantequilla de mani"", ""grams"": 11}, {""ingredient"": ""morrón"", ""grams"": 127}, {""ingredient"": ""tortitas de arroz"", ""grams"": 83}]",234.9,10.7,39.3,4.2,2.5,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0171,Tostadas integrales con tempeh y morrón,desayuno,1,22,"[{""ingredient"": ""morrón"", ""grams"": 190}, {""ingredient"": ""pan integral"", ""grams"": 80}, {""ingredient"": ""tempeh"", ""grams"": 70}]",391.6,26.3,50.5,11.6,9.6,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0172,Omelette de espinaca con mantequilla de mani,desayuno,1,8,"[{""ingredient"": ""claras de huevo"", ""grams"": 100}, {""ingredient"": ""espinaca"", ""grams"": 139}, {""ingredient"": ""huevo entero"", ""grams"": 100}, {""ingredient"": ""mantequilla de mani"", ""grams"": 31}]",409.2,35.8,13.0,25.8,4.9,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0173,Bowl de quinoa cocida con arandanos y miel,desayuno,1,5,"[{""ingredient"": ""arandanos"", ""grams"": 175}, {""ingredient"": ""semillas de lino"", ""grams"": 20}, {""ingredient"": ""yogur griego descremado"", ""grams"": 182}]",313.9,23.0,37.7,9.7,9.6,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0174,Omelette de pepino con nueces,desayuno,1,23,"[{""ingredient"": ""claras de huevo"", ""grams"": 150}, {""ingredient"": ""huevo entero"", ""grams"": 140}, {""ingredient"": ""nueces"", ""grams"": 18}, {""ingredient"": ""pepino"", ""grams"": 102}]",412.2,38.1,8.8,25.4,1.7,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0175,Pudding de chia con naranja,postre,2,12,"[{""ingredient"": ""leche descremada"", ""grams"": 195}, {""ingredient"": ""miel"", ""grams"": 30}, {""ingredient"": ""naranja"", ""grams"": 199}, {""ingredient"": ""semillas de lino"", ""grams"": 21}]",182.6,6.1,32.0,4.6,5.3,Mezclá las semillas con la leche. Dejá reposar 2-4h en heladera. Sumá la fruta al servir.
R0176,Omelette de cebolla con mantequilla de mani,desayuno,1,14,"[{""ingredient"": ""cebolla"", ""grams"": 162}, {""ingredient"": ""huevo entero"", ""grams"": 140}, {""ingredient"": ""mantequilla de mani"", ""grams"": 24}]",406.1,26.0,21.4,25.5,4.2,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0177,Omelette de zapallito con aceite de oliva,desayuno,1,9,"[{""ingredient"": ""claras de huevo"", ""grams"": 150}, {""ingredient"": ""huevo entero"", ""grams"": 100}, {""ingredient"": ""zapallito"", ""grams"": 110}]",239.7,30.8,5.6,10.1,1.1,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0178,Bowl de avena con brocoli y semillas de lino,desayuno,1,7,"[{""ingredient"": ""avena"", ""grams"": 70}, {""ingredient"": ""bebida vegetal sin azucar"", ""grams"": 176}, {""ingredient"": ""cacao amargo"", ""grams"": 9}, {""ingredient"": ""mantequilla de mani"", ""grams"": 23}, {""ingredient"": ""naranja"", ""grams"": 106}]",513.1,22.1,72.2,19.8,15.0,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0179,Bowl de avena con almendras y semillas de lino,desayuno,1,14,"[{""ingredient"": ""almendras"", ""grams"": 31}, {""ingredient"": ""avena"", ""grams"": 50}, {""ingredient"": ""bebida vegetal sin azucar"", ""grams"": 169}, {""ingredient"": ""frutillas"", ""grams"": 155}]",457.4,17.7,55.3,21.4,12.5,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0180,Tazón de quinoa con queso cottage light y morrón,cena,2,13,"[{""ingredient"": ""morrón"", ""grams"": 87}, {""ingredient"": ""papa cocida"", ""grams"": 114}, {""ingredient"": ""queso cottage light"", ""grams"": 131}, {""ingredient"": ""salsa de soja"", ""grams"": 15}, {""ingredient"": ""semillas de chia"", ""grams"": 15}]",157.2,10.6,19.8,4.1,4.5,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0181,Pollo con pasta integral cocida y zapallito,almuerzo,2,26,"[{""ingredient"": ""mantequilla de mani"", ""grams"": 32}, {""ingredient"": ""mostaza"", ""grams"": 16}, {""ingredient"": ""pasta integral cocida"", ""grams"": 135}, {""ingredient"": ""tofu firme"", ""grams"": 90}, {""ingredient"": ""zapallito"", ""grams"": 143}]",260.0,16.2,24.1,13.3,3.9,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0182,Tazón de quinoa con salmon y brocoli,cena,1,16,"[{""ingredient"": ""arroz integral cocido"", ""grams"": 83}, {""ingredient"": ""brocoli"", ""grams"": 75}, {""ingredient"": ""salmon"", ""grams"": 111}]",358.5,26.5,26.2,15.6,3.4,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0183,Omelette de pepino con semillas de lino,desayuno,1,10,"[{""ingredient"": ""claras de huevo"", ""grams"": 150}, {""ingredient"": ""huevo entero"", ""grams"": 100}, {""ingredient"": ""pepino"", ""grams"": 91}, {""ingredient"": ""semillas de lino"", ""grams"": 24}]",363.7,34.5,12.4,20.0,6.9,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0184,Guiso de legumbres con zapallito,cena,1,30,"[{""ingredient"": ""batata cocida"", ""grams"": 151}, {""ingredient"": ""claras de huevo"", ""grams"": 150}, {""ingredient"": ""mostaza"", ""grams"": 24}, {""ingredient"": ""zapallito"", ""grams"": 174}]",259.3,22.6,39.6,2.1,7.4,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0185,Yogur griego con banana y semillas de lino,snack,1,17,"[{""ingredient"": ""banana"", ""grams"": 111}, {""ingredient"": ""semillas de lino"", ""grams"": 18}, {""ingredient"": ""yogur griego descremado"", ""grams"": 284}]",362.5,32.9,40.8,9.0,7.7,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0186,Tostadas integrales con huevo entero y lechuga,desayuno,1,13,"[{""ingredient"": ""huevo entero"", ""grams"": 63}, {""ingredient"": ""lechuga"", ""grams"": 141}, {""ingredient"": ""pan integral"", ""grams"": 60}]",259.4,18.0,29.4,8.8,6.0,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0187,Bowl de avena con naranja y cacao amargo,desayuno,1,10,"[{""ingredient"": ""avena"", ""grams"": 60}, {""ingredient"": ""leche descremada"", ""grams"": 206}, {""ingredient"": ""naranja"", ""grams"": 153}]",377.4,18.5,68.1,4.5,10.0,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0188,Ensalada proteica de atun al natural escurrido con cebolla y semillas de lino,almuerzo,2,27,"[{""ingredient"": ""atun al natural escurrido"", ""grams"": 116}, {""ingredient"": ""cebolla"", ""grams"": 108}, {""ingredient"": ""tortitas de arroz"", ""grams"": 224}]",514.5,24.6,96.9,3.8,3.2,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0189,Batido de proteína con naranja,snack,1,9,"[{""ingredient"": ""leche descremada"", ""grams"": 237}, {""ingredient"": ""naranja"", ""grams"": 171}, {""ingredient"": ""semillas de lino"", ""grams"": 8}, {""ingredient"": ""whey protein"", ""grams"": 30}]",326.0,35.0,36.7,5.6,6.3,Agregá todo en la licuadora. Licuá 20-30s hasta homogéneo. Serví y listo.
R0190,Guiso de legumbres con espinaca,cena,2,35,"[{""ingredient"": ""arroz integral cocido"", ""grams"": 166}, {""ingredient"": ""espinaca"", ""grams"": 137}, {""ingredient"": ""porotos negros cocidos"", ""grams"": 105}, {""ingredient"": ""semillas de lino"", ""grams"": 15}]",227.2,10.3,38.5,4.5,9.6,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0191,Batido de proteína con naranja,snack,1,10,"[{""ingredient"": ""leche descremada"", ""grams"": 195}, {""ingredient"": ""naranja"", ""grams"": 173}, {""ingredient"": ""semillas de lino"", ""grams"": 20}, {""ingredient"": ""whey protein"", ""grams"": 35}]",396.4,39.8,38.8,10.9,9.6,Agregá todo en la licuadora. Licuá 20-30s hasta homogéneo. Serví y listo.
R0192,Guiso de legumbres con tomate,cena,1,24,"[{""ingredient"": ""huevo entero"", ""grams"": 140}, {""ingredient"": ""semillas de chia"", ""grams"": 12}, {""ingredient"": ""tomate"", ""grams"": 141}, {""ingredient"": ""tortitas de arroz"", ""grams"": 168}]",922.3,34.9,149.8,22.0,9.1,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0193,Pollo con arroz blanco cocido y cebolla,almuerzo,1,36,"[{""ingredient"": ""arroz blanco cocido"", ""grams"": 185}, {""ingredient"": ""atun al natural escurrido"", ""grams"": 122}, {""ingredient"": ""cebolla"", ""grams"": 186}, {""ingredient"": ""mostaza"", ""grams"": 17}]",467.6,38.9,70.1,2.6,4.4,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
